key,sample,location,location_code,state,state_code,location_macro,location_macro_code,beach_or_area,area_type,coord_lat,coord_lon,status,age_class,sex,previous_assignment,carapace_length_metres,carapace_width_metres,weight_kg,collection_date,library,extracted_from,source,obs,method,rg_id,rg_pl,rg_pm
178,R0166,Natal,NAT,Rio Grande do Norte,RN,Brazil,BR,Natal,nesting,,,,,F,ei,,,,,default,tissue,vilaca_2022,,ddRAD,NB500882.22.HHGJKBGXX.1,ILLUMINA,NextSeq 500
179,R0167,Campos,CMP,Rio de Janeiro,RJ,Brazil,BR,Campos,nesting,,,,juvenile,,ei,,,,,Bad1,tissue,arantes_unpublished,,3RAD,K00302.86.H2CTHBBXX.8,ILLUMINA,HiSeq 4000
180,R0168,Arembepe,ABP,Bahia,BA,Brazil,BR,Itapuã,nesting,,,,,M,ei,,,,,default,tissue,vilaca_2022,stranded,ddRAD,NB500882.22.HHGJKBGXX.1,ILLUMINA,NextSeq 500
181,R0169,Arembepe,ABP,Bahia,BA,Brazil,BR,Santa Maria,nesting,,,,,,ei,,,,,default,tissue,vilaca_2022,stranded,ddRAD,NB500882.22.HHGJKBGXX.1,ILLUMINA,NextSeq 500
182,R0177,Costa do Sauípe,CDS,Bahia,BA,Brazil,BR,Costa do Sauípe,nesting,,,nesting,adult,F,ei,,,,,Bad1,tissue,arantes_unpublished,,3RAD,K00302.86.H2CTHBBXX.8,ILLUMINA,HiSeq 4000
183,R0180,Arembepe,ABP,Bahia,BA,Brazil,BR,Arembepe,nesting,,,laying,adult,F,ei,,,,,Bad1,tissue,arantes_unpublished,,3RAD,K00302.86.H2CTHBBXX.8,ILLUMINA,HiSeq 4000
184,R0180,Arembepe,ABP,Bahia,BA,Brazil,BR,Arembepe,nesting,,,laying,adult,F,ei,,,,,Bad3,tissue,arantes_unpublished,,3RAD,K00302.86.H2CTHBBXX.8,ILLUMINA,HiSeq 4000
185,R0181,Arembepe,ABP,Bahia,BA,Brazil,BR,Santa Maria,nesting,,,laying,adult,F,ei,,,,,Bad1,tissue,arantes_unpublished,fibropapillomas,3RAD,K00302.86.H2CTHBBXX.8,ILLUMINA,HiSeq 4000
186,R0181,Arembepe,ABP,Bahia,BA,Brazil,BR,Santa Maria,nesting,,,laying,adult,F,ei,,,,,Bad3,tissue,arantes_unpublished,fibropapillomas,3RAD,K00302.86.H2CTHBBXX.8,ILLUMINA,HiSeq 4000
187,R0186,Arembepe,ABP,Bahia,BA,Brazil,BR,Busca Vida,nesting,,,laying,adult,F,ei,,,,,default,tissue,vilaca_2022,tracking device,ddRAD,NB500882.22.HHGJKBGXX.1,ILLUMINA,NextSeq 500
188,R0187,Arembepe,ABP,Bahia,BA,Brazil,BR,Busca Vida,nesting,,,laying,adult,F,ei,,,,,default,tissue,vilaca_2022,tracking device,ddRAD,NB500882.22.HHGJKBGXX.1,ILLUMINA,NextSeq 500
